order_id,order_date,region,category,channel,customer_segment,units,unit_price,discount_pct,revenue,cost,profit,delivery_days,rating
489,2024-01-01,East,Apparel,Retail,Home Office,5,71.71,0.0,358.55,242.46,116.09,13.0,
953,2024-01-01,West,Accessories,Online,Consumer,9,27.12,0.15,207.47,131.97,75.5,,
3914,2024-01-01,West,Footwear,Online,Consumer,7,112.19,0.0,785.33,522.66,262.67,10.0,3.0
4961,2024-01-01,North,Apparel,Online,Consumer,4,36.56,0.0,146.24,91.53,54.71,7.0,
1827,2024-01-02,South,Footwear,Online,Consumer,3,44.2,0.0,132.6,89.8,42.8,14.0,
3324,2024-01-02,North,Footwear,Online,Consumer,7,25.39,0.1,159.96,89.49,70.47,2.0,
532,2024-01-03,East,Footwear,Wholesale,Consumer,134,24.43,0.1,2946.26,1976.14,970.12,12.0,4.0
667,2024-01-03,North,Footwear,Online,Consumer,1,98.23,0.0,98.23,59.61,38.62,10.0,1.0
800,2024-01-03,South,Footwear,Wholesale,Consumer,42,48.34,0.0,2030.28,1298.9,731.38,1.0,5.0
972,2024-01-03,East,Footwear,Online,Home Office,11,20.09,0.0,220.99,149.12,71.87,3.0,4.0
1799,2024-01-03,North,Apparel,Retail,Home Office,5,53.07,0.0,265.35,164.36,100.99,4.0,1.0
2958,2024-01-03,South,Apparel,Online,Consumer,5,88.43,0.0,442.15,254.6,187.55,8.0,4.0
4135,2024-01-03,East,Footwear,Online,Consumer,11,67.02,0.25,552.92,358.45,194.47,8.0,1.0
4266,2024-01-03,South,Footwear,Online,Consumer,7,181.72,0.0,1272.04,849.79,422.25,13.0,
4822,2024-01-03,West,Footwear,Online,Corporate,9,86.97,0.05,743.59,437.68,305.91,13.0,3.0
4933,2024-01-03,East,Footwear,Online,Consumer,6,33.76,0.05,192.43,123.95,68.48,13.0,
318,2024-01-04,South,Footwear,Retail,Consumer,3,60.88,0.0,182.64,116.45,66.19,9.0,1.0
357,2024-01-04,South,Apparel,Online,Corporate,5,40.37,0.1,181.66,113.69,67.97,4.0,3.0
2872,2024-01-04,East,Apparel,Online,Consumer,4,38.02,0.05,144.48,94.35,50.13,6.0,3.0
3091,2024-01-04,South,Apparel,Online,Consumer,9,35.19,0.0,316.71,188.83,127.88,8.0,4.0
4108,2024-01-04,West,Apparel,Retail,Consumer,7,39.45,0.05,262.34,162.09,100.25,,
4405,2024-01-04,North,Accessories,Online,Consumer,10,76.88,0.1,691.92,423.31,268.61,,3.0
4504,2024-01-04,East,Outerwear,Online,Consumer,3,57.76,0.15,147.29,91.15,56.14,1.0,
1570,2024-01-05,North,Footwear,Retail,Consumer,9,33.46,0.15,255.97,135.78,120.19,14.0,3.0
2343,2024-01-05,North,Accessories,Retail,Consumer,5,40.73,0.0,203.65,120.51,83.14,4.0,
4695,2024-01-05,West,Accessories,Online,Consumer,6,41.61,0.25,187.24,108.92,78.32,5.0,4.0
453,2024-01-06,East,Outerwear,Wholesale,Consumer,111,39.82,0.05,4199.02,2698.72,1500.3,6.0,5.0
666,2024-01-06,West,Footwear,Online,Corporate,8,29.25,0.05,222.3,146.62,75.68,,5.0
1168,2024-01-06,West,Apparel,Online,Consumer,2,63.76,0.0,127.52,83.71,43.81,7.0,3.0
2883,2024-01-06,South,Footwear,Online,Corporate,3,52.5,0.05,149.62,82.05,67.57,,2.0
3195,2024-01-06,West,Apparel,Online,Home Office,8,41.4,0.0,331.2,218.94,112.26,10.0,
3541,2024-01-06,North,Apparel,Online,Consumer,10,48.3,0.15,410.55,256.69,153.86,7.0,1.0
3868,2024-01-06,West,Apparel,Retail,Consumer,7,31.06,0.05,206.55,128.27,78.28,13.0,
4241,2024-01-06,West,Apparel,Retail,Consumer,3,64.13,0.1,173.15,103.15,70.0,2.0,1.0
4557,2024-01-06,South,Accessories,Wholesale,Corporate,252,56.0,0.1,12700.8,6939.29,5761.51,12.0,4.0
9,2024-01-07,East,Footwear,Online,Consumer,9,45.47,0.0,409.23,270.75,138.48,11.0,
693,2024-01-07,East,Accessories,Online,Consumer,3,35.77,0.0,107.31,62.98,44.33,1.0,1.0
1923,2024-01-07,South,Accessories,Online,Consumer,5,40.15,0.0,200.75,138.67,62.08,14.0,
1925,2024-01-07,North,Accessories,Online,Consumer,8,80.43,0.0,643.44,386.87,256.57,10.0,5.0
2684,2024-01-07,North,Accessories,Online,Corporate,5,61.63,0.15,261.93,158.91,103.02,6.0,1.0
2822,2024-01-07,West,Apparel,Retail,Consumer,8,61.07,0.0,488.56,298.15,190.41,13.0,
3055,2024-01-07,East,Apparel,Online,Corporate,11,24.08,0.1,238.39,154.62,83.77,8.0,2.0
3420,2024-01-07,North,Apparel,Online,Consumer,4,115.72,0.0,462.88,262.72,200.16,12.0,4.0
4280,2024-01-07,South,Outerwear,Retail,Corporate,5,35.14,0.15,149.34,95.38,53.96,13.0,
4579,2024-01-07,South,Outerwear,Wholesale,Corporate,311,62.84,0.25,14657.43,10301.33,4356.1,8.0,3.0
451,2024-01-08,North,Footwear,Online,Home Office,11,15.1,0.25,124.57,72.99,51.58,1.0,5.0
742,2024-01-08,West,Outerwear,Online,Consumer,3,72.14,0.0,216.42,116.86,99.56,10.0,1.0
1598,2024-01-08,North,Outerwear,Wholesale,Corporate,206,56.64,0.0,11667.84,7566.39,4101.45,12.0,
1987,2024-01-08,South,Footwear,Retail,Home Office,3,32.4,0.15,82.62,49.95,32.67,6.0,5.0
2008,2024-01-08,North,Accessories,Online,Consumer,3,41.09,0.25,92.45,56.41,36.04,5.0,
2280,2024-01-08,East,Footwear,Online,Consumer,7,36.39,0.0,254.73,168.05,86.68,8.0,2.0
3115,2024-01-08,North,Footwear,Online,Home Office,8,54.06,0.0,432.48,266.84,165.64,,3.0
3637,2024-01-08,South,Accessories,Retail,Corporate,10,87.82,0.05,834.29,540.91,293.38,6.0,1.0
3697,2024-01-08,South,Outerwear,Online,Consumer,2,91.33,0.0,182.66,108.71,73.95,1.0,4.0
3983,2024-01-08,East,Accessories,Online,Consumer,5,99.3,0.05,471.67,273.4,198.27,13.0,2.0
244,2024-01-09,South,Outerwear,Online,Consumer,8,42.43,0.0,339.44,198.26,141.18,9.0,4.0
1876,2024-01-09,South,Apparel,Online,Corporate,5,80.05,0.0,400.25,243.3,156.95,3.0,2.0
2824,2024-01-09,North,Outerwear,Retail,Corporate,9,44.61,0.0,401.49,220.49,181.0,5.0,1.0
3216,2024-01-09,East,Outerwear,Online,Consumer,5,35.69,0.1,160.6,99.06,61.54,,1.0
3443,2024-01-09,South,Accessories,Online,Consumer,2,104.11,0.0,208.22,117.51,90.71,11.0,2.0
4617,2024-01-09,West,Accessories,Online,Consumer,2,71.18,0.0,142.36,81.51,60.85,2.0,5.0
